generated_question,generated_answer
Quais cursos terão provas de Habilidades Específicas na Unicamp 2024?,"Arquitetura e Urbanismo, Artes Cênicas, Artes Visuais, Dança e Cursos de Música."
Quando serão realizadas as provas de Habilidades Específicas para os cursos de Música?,As provas de Habilidades Específicas para os cursos de Música serão realizadas de forma virtual entre os dias 18 a 29 de setembro de 2023.
Qual é a data da 1ª fase do Vestibular Unicamp 2024?,A 1ª fase do VU 2024 será realizada no dia 29 de outubro de 2023.
Como é calculada a Nota Padronizada da 1ª fase (NPF1) para os candidatos?,"A Nota Padronizada da 1ª fase (NPF1) é calculada por meio da fórmula NPF1 = 500 + (N – M) x 100/DP, onde N é a nota da prova, M é a média das notas dos candidatos presentes na 1ª fase, e DP é o desvio padrão das notas dos candidatos presentes."
Qual é o número mínimo de convocados para a 2ª fase do Vestibular Unicamp 2024?,O número mínimo de convocados para a 2ª fase será de 4 vezes o número de vagas do curso.
Quantas provas compõem a 2ª fase do Vestibular Unicamp 2024?,"A 2ª fase é composta por provas com questões dissertativas distribuídas em dois dias, sendo um total de nove provas."
Quais são os critérios de convocação para a 2ª fase descritos no art. 21?,"Os critérios de convocação para a 2ª fase são baseados na ordem decrescente da Nota Final da 1ª fase (NF1) e em limites específicos dependendo da relação candidato/vaga de cada curso, conforme descrito no Anexo I."
Quais são os critérios para a convocação dos candidatos para a matrícula online na Unicamp?,"Os candidatos serão convocados de acordo com a ordem decrescente de NPO, preferência de curso e notas padronizadas em disciplinas prioritárias."
É possível cancelar a matrícula uma vez efetuada?,"Sim, os candidatos podem cancelar a matrícula dentro do período estipulado e conforme o calendário divulgado pela Comvest."
Quais são os documentos exigidos para a matrícula na Unicamp?,"Os documentos necessários incluem diploma ou certificado de conclusão do ensino médio, histórico escolar completo do ensino médio, certificados de exames de certificação, e outros documentos específicos, dependendo da modalidade de ingresso."
Como ocorre o processo de seleção e convocação dos candidatos?,"Os candidatos são classificados de acordo com critérios específicos, como ordem de preferência de curso, desempenho acadêmico e notas padronizadas."
O que acontece se um candidato for convocado em mais de um sistema de seleção da Unicamp?,"Se um candidato for convocado em mais de um sistema de seleção, ele será excluído automaticamente de vagas em outros sistemas ao efetuar a matrícula no sistema em que foi convocado."
Existe a possibilidade de permuta de vagas entre candidatos?,"Não, a permuta de vagas entre candidatos classificados não é permitida."
Quais são as penalidades para informações falsas ou documentação inidônea?,"A prestação de informações falsas ou a apresentação de documentação inidônea pode resultar no cancelamento da matrícula do estudante na Unicamp, além de possíveis sanções penais."
Como são tratados os casos omissos no edital?,Os casos omissos são decididos por uma comissão composta pelo Diretor e Diretora Adjunta da Comvest e pelo Pró-Reitor de Graduação.
Qual é o total de vagas para o curso de Administração (Noturno)?,O total de vagas para o curso de Administração (Noturno) é 180.
Qual é o número máximo de vagas para o curso de Música: Composição (Integral)?,O número máximo de vagas para o curso de Música: Composição (Integral) é 5.
Quantas vagas são reservadas para cotas no curso de Arquitetura e Urbanismo (Noturno)?,"No curso de Arquitetura e Urbanismo (Noturno), 5 vagas são reservadas para cotas."
Qual é o número de vagas regulares para o curso de Engenharia Elétrica (Noturno)?,O número de vagas regulares para o curso de Engenharia Elétrica (Noturno) é 30.
Quais são as habilidades gerais que os candidatos são avaliados na prova?,"Os candidatos são avaliados quanto ao domínio de conteúdos e conceitos tratados no ensino médio, incluindo habilidades como identificar e reconhecer, inferir, analisar criticamente, comparar, formular hipóteses a partir de evidências e aplicar o conhecimento."
Quantas questões objetivas compõem a prova da primeira fase?,"A prova da primeira fase é composta por 72 questões objetivas distribuídas da seguinte forma: 12 questões de Matemática, 12 questões de Língua Portuguesa e Literaturas de Língua Portuguesa, 7 questões de Inglês, 21 questões de Ciências da Natureza (Biologia, Química e Física) e 20 questões de Ciências Humanas (História, Geografia, Filosofia e Sociologia)."
Quais são os critérios de avaliação da prova de Redação?,"Os critérios de avaliação da prova de Redação incluem o cumprimento da proposta temática, a configuração do gênero, a qualidade da leitura dos textos oferecidos na prova e a articulação coerente e coesa de elementos da escrita. Os candidatos devem também demonstrar competência na seleção lexical apropriada ao estilo dos gêneros discursivos solicitados na prova e no emprego de regras gramaticais e ortográficas."
Quantos dias são destinados para a realização da segunda fase?,A segunda fase é realizada em dois dias consecutivos.
Quais são os temas abordados nas provas de Língua Portuguesa do Vestibular Unicamp?,"As provas de Língua Portuguesa do Vestibular Unicamp abordam temas como reconhecimento da língua como fenômeno sociocultural, compreensão de práticas de linguagem, interpretação de textos de diferentes gêneros e mídias, análise da forma e do sentido das estruturas e recursos linguísticos, entre outros."
Quais são os índices de conteúdos programáticos gerais para a prova de Língua Portuguesa?,"Os índices de conteúdos programáticos gerais para a prova de Língua Portuguesa incluem o texto e seu funcionamento, processos de significação, funcionamento social da língua, sintaxe da língua portuguesa, morfologia da língua portuguesa e elementos de fonologia da língua portuguesa."
Quais são as habilidades exigidas na prova de Literaturas de Língua Portuguesa na Unicamp 2024?,"A prova requer a capacidade de leitura, compreensão analítica e interpretação crítica de textos nas tradições das literaturas de língua portuguesa, além do desenvolvimento de habilidades de leitura literária."
Quais são os gêneros literários abordados na prova de Prosa?,"A prova de Prosa inclui gêneros como romances, contos, crônicas, sermões, ou diários."
Quais são os elementos fundamentais que o candidato deve ser capaz de descrever na prova de Prosa?,"O candidato deve ser capaz de descrever elementos como narrador, personagem, tempo, espaço, enredo, além de analisar o funcionamento do texto em relação a temas amplos e transversais."
Quais são os elementos fundamentais que o candidato deve ser capaz de descrever na prova de Poesia?,"Na prova de Poesia, o candidato deve descrever elementos da linguagem poética, como verso, estrofe, metro, ritmo e sonoridade, e relacioná-los com temas e figuras de linguagem."
Qual a importância dos conhecimentos sobre Matemática na prova da Unicamp 2024?,"Os conhecimentos de Matemática são fundamentais para a prova da Unicamp 2024, pois as questões buscam identificar um conhecimento crítico e integrado da Matemática do ensino fundamental e médio. O candidato deve estar familiarizado com nomenclatura e símbolos matemáticos usuais."
Quais são os conteúdos programáticos gerais em Matemática exigidos na prova da Unicamp 2024?,"Os conteúdos programáticos gerais em Matemática incluem conjuntos numéricos, funções e gráficos, polinômios com coeficientes reais, contagem e probabilidade, sistemas lineares, geometria plana, geometria espacial, trigonometria, geometria analítica e logaritmos e exponenciais."
Quais são algumas habilidades exigidas na prova de Geografia?,"A prova exige a capacidade de resolver problemas geográficos, aprimorar o raciocínio geográfico, compreender a espacialização dos fenômenos, descrever e analisar processos espaciais em várias escalas, conhecer a dinâmica dos territórios nacionais e elaborar respostas escritas com base no conteúdo programático."
Quais são os conceitos fundamentais abordados na seção de Geografia?,"Os conceitos fundamentais incluem espaço geográfico, território, paisagem, região, lugar, redes técnicas, escalas, fronteiras e linguagem cartográfica."
Quais são os componentes físico-naturais abordados na seção de Geografia?,"Os componentes físico-naturais incluem interação Litosfera x Hidrosfera x Atmosfera x Criosfera, mecanismos da configuração do relevo, dinâmicas atmosféricas, elementos do clima, ciclo hidrológico, biosfera, recursos naturais e questões ambientais."
Quais são as habilidades exigidas na prova de História?,"A prova exige a capacidade de compreender documentos históricos de múltiplas naturezas, relacionar documentos históricos aos seus contextos de produção, cotejar fontes e estudos historiográficos, e elaborar respostas escritas com base no conteúdo programático de História."
Quais são os eixos norteadores dos recortes temáticos na seção de História?,"Os eixos norteadores incluem o tempo presente e os usos do passado, leitura crítica do documento histórico, uma história não eurocêntrica, e a noção de cidadania e os direitos civis, sociais e políticos."
Quais são os conteúdos programáticos gerais de Sociologia?,"Os conteúdos programáticos gerais incluem conceitos fundamentais e dimensões sociais, como a relação entre o indivíduo e a sociedade, diferença e desigualdade, cultura e poder, trabalho e política, relações entre grupos e povos, cultura e comunicação de massa, demandas por direitos e dinâmicas sociais na base de fenômenos da violência."
Quais são as habilidades exigidas na prova de Filosofia?,"1. Analisar os textos filosóficos levando em consideração o contexto histórico, o contexto filosófico, as teses e os argumentos apresentados. 2. Compreender e interpretar de forma crítica textos filosóficos produzidos em diferentes épocas e lugares, relacionando-os com temas e questões contemporâneas relevantes, bem como com conhecimentos produzidos em outras áreas. 3. Comparar distintas abordagens filosóficas de um mesmo tema ou conceito à luz da história da filosofia. 4. Elaborar respostas escritas que envolvam descrição, exposição e argumentação com base nas informações e conhecimentos listados no conteúdo programático de Filosofia."
Quais são os conteúdos programáticos gerais de Filosofia?,"Os conteúdos programáticos gerais abrangem fundamentos da ética e formação de sujeitos éticos, fundamentos da política e formação de sujeitos políticos, entre outros temas relacionados a ética, política e suas interconexões."
Quais são as habilidades exigidas na prova de Língua Inglesa?,"1. Ler, analisar e interpretar informações em textos variados em língua inglesa. 2. Mobilizar conhecimentos sistêmicos para construir sentidos a partir da leitura reflexiva e crítica de textos variados em língua inglesa. 3. Articular conhecimentos diversos a partir do contato com diferentes manifestações artístico-culturais difundidas em língua inglesa. 4. Elaborar respostas escritas que envolvam descrição, exposição e argumentação com base nas informações e conhecimentos listados no conteúdo programático de língua inglesa. 5. Articular conhecimentos de diversas áreas a partir da Língua Inglesa, sob uma perspectiva interdisciplinar."
Quais são os conteúdos programáticos gerais de Língua Inglesa?,"Os conteúdos programáticos gerais incluem a mobilização de conhecimentos prévios no ato da leitura, interpretação de textos, reconhecimento de subentendidos e jogos de palavras, entre outros tópicos."
Quais são as habilidades exigidas na prova de Ciências Biológicas?,"As habilidades incluem o domínio do conteúdo programático do Ensino Médio relativo à Biologia, capacidade de correlacionar conhecimentos relativos a campos distintos, habilidade de descrever, analisar e relacionar conceitos, entre outras."
Quais são os conteúdos programáticos gerais de Ciências Biológicas?,"Os conteúdos programáticos gerais abrangem bases moleculares e celulares da vida, hereditariedade, origem e evolução da vida, o ambiente e a vida, biodiversidade, e saúde humana."
Quais são as habilidades exigidas na prova de Física?,"As habilidades exigidas incluem a leitura, análise e interpretação de informações e conceitos em textos variados, resolução de problemas de Física, análise de modelos, teorias e leis propostos em diferentes épocas, descrição e análise de conceitos básicos de Física, e elaboração de respostas escritas relacionadas aos problemas propostos."
Quais são as habilidades exigidas na prova de Química?,"A prova de Química exige do candidato a capacidade de observar e descrever fenômenos, de utilizar modelos para interpretar esses fenômenos, de usar aparelhagem básica no manuseio de materiais para obter outros materiais ou para obter informações sobre uma transformação."
Quais são os tipos de problemas de Química que os candidatos devem resolver?,"Os problemas de Química devem envolver contextualização de fenômenos e processos científicos, aplicação de conceitos e informações a situações específicas."
Quais são as categorias de habilidades avaliadas na prova de Habilidades Específicas para Arquitetura e Urbanismo?,"As categorias de habilidades avaliadas na prova são: Domínio Espacial e Abstrato, Observação da Paisagem e seus Elementos, e Linguagem Não-Verbal: Desenho e Expressão Gráfica."
Qual é o objetivo da prova de Habilidades Específicas para Arquitetura e Urbanismo?,"O objetivo da prova é avaliar as habilidades do candidato em relação à conjugação e organização de formas planas e volumétricas na criação de composições, compreensão espacial e manipulação de estruturas tridimensionais, entre outros."
Quais materiais os candidatos devem levar para a prova de Habilidades Específicas para Arquitetura e Urbanismo?,"Os candidatos devem levar lápis ou lapiseira com grafites macias, canetas hidrográficas coloridas, caixa de lápis de cor, compasso, fita adesiva, cola bastão, tesoura pequena e borracha."
Quando serão realizadas as provas de Habilidades Específicas para Artes Cênicas?,As provas de Habilidades Específicas para Artes Cênicas serão realizadas de 07 a 09 de dezembro de 2023.
Qual é o foco do curso de Artes Cênicas na Unicamp?,"O foco do curso de Artes Cênicas é a formação de um ator com perfil de artista pesquisador, que compreenda o evento teatral de forma abrangente e se coloque como agente em um processo de criação."
Quais são os critérios de avaliação da Prova Teórica para Artes Cênicas?,"A Prova Teórica avalia o conhecimento do candidato sobre história do teatro e teorias e práticas teatrais, com base na bibliografia indicada no edital."
Quais são os critérios de avaliação da Prova de Sala de Aula para Artes Cênicas?,"A Prova de Sala de Aula avalia a capacidade do candidato para a prática teatral, observando aspectos como disponibilidade física, atenção, prontidão, interação, escuta e resposta criativa aos exercícios propostos."
Quais são os critérios de avaliação da Prova de Palco para Artes Cênicas?,"A Prova de Palco avalia o potencial e a qualidade da atuação do candidato na cena escolhida, considerando a compreensão do texto e a expressividade vocal e corporal."
Quais são os materiais que os candidatos devem levar nos dias da prova de Habilidades Específicas para Artes Cênicas?,"Os candidatos devem levar lápis, borracha e caneta esferográfica azul ou preta."
Qual é a data das provas de Habilidades Específicas para o curso de Dança na Unicamp?,As provas de Habilidades Específicas para o curso de Dança serão realizadas de 07 a 09 de dezembro de 2023.
Quais são os critérios de avaliação para a Prova de Técnica do curso de Dança?,"Os critérios de avaliação para a Prova de Técnica do curso de Dança incluem: Alinhamento Postural Dinâmico, Orientação Espacial - Versatilidade, Ritmo e Musicalidade, Percepção e Memória do Movimento, Domínio Corporal e Prontidão Corporal."
O que é exigido dos candidatos na Prova de Improvisação do curso de Dança?,"Na Prova de Improvisação do curso de Dança, os candidatos serão avaliados com base nos critérios de Atitude, Domínio no uso do espaço/tempo, Integração, Fluidez, Persistência no desempenho das ações corporais, Inventividade e Versatilidade."
Quais são os cursos de Música oferecidos no Vestibular Unicamp 2024?,"Os cursos de Música oferecidos no Vestibular Unicamp 2024 incluem Música Popular (Piano, Voz, Saxofone, Contrabaixo, Guitarra, Bateria, Violão) e Música Erudita (Clarineta, Flauta, Trombone, Viola, Contrabaixo, Violoncelo, Percussão, Voz, Piano, Trompete, Violino) além de Música: Licenciatura, Música Erudita: Composição e Música Erudita: Regência."
O que é necessário para os candidatos fazerem o upload dos vídeos das Provas de Habilidades Específicas?,"Para fazer o upload dos vídeos das Provas de Habilidades Específicas, os candidatos devem seguir os requisitos, incluindo o envio de arquivos digitais nos formatos avi, mp4 ou mkv, gravações por uma única câmera fixa, entre outros."
Quais são as condições de eliminação para um candidato na Prova de Habilidades Específicas de Música?,O candidato será eliminado se não atingir nota superior ou igual a 24 na Prova de Habilidades Específicas de Música.
Qual é a data de divulgação dos aprovados na prova de Habilidades Específicas em Música?,A divulgação dos aprovados na prova de Habilidades Específicas em Música será no dia 13 de novembro de 2023.
Como é calculada a nota da primeira fase do processo de admissão?,A nota da primeira fase é calculada de acordo com o que está estabelecido no Artigo 19 da Resolução do Vestibular Unicamp 2024.
Onde os candidatos podem encontrar o conteúdo das provas por curso?,Partituras e arquivos de áudio estão disponíveis na página da Comvest (www.comvest.unicamp.br).
Quais são os requisitos específicos para o curso de Música Popular - PIANO?,"Os requisitos incluem a apresentação de um arranjo próprio da peça ""Para Sempre"" (Débora Gurgel) no Vídeo I, seguido das instruções da partitura no Vídeo II e uma peça de escolha livre com arranjo próprio no Vídeo III."
Quais são os requisitos específicos para o curso de Música Erudita - VIOLINO?,"Os requisitos incluem a execução do Estudo nº 8 do livro 42 Estudos para violino de Rodolphe Kreutzer no Vídeo I, seguido das instruções da partitura no Vídeo II e a apresentação do 1º movimento com cadenza de um concerto do período clássico no Vídeo III."
Quais são os requisitos específicos para o curso de Música Erudita - PIANO?,"Os requisitos incluem a apresentação de um Estudo de livre escolha de um dos compositores listados no Vídeo I, seguido das instruções da partitura no Vídeo II e a execução de um Movimento vivo de Sonata de livre escolha ou um Prelúdio e Fuga de J. S. Bach do Cravo Bem Temperado no Vídeo III."
Quais são os cursos que têm peso de 500 pontos?,"Arquitetura e Urbanismo (Noturno), Artes Cênicas (Integral), Artes Visuais (Integral), Pedagogia (Integral), Pedagogia (Noturno), Linguística (Integral), Medicina - Unicamp (Integral)"
Quais são os cursos que têm peso de 450 pontos?,"Ciências Econômicas (Integral), Ciências Econômicas (Noturno), Geografia (Integral), Geografia (Noturno), Licenciatura em Letras - Português (Integral), Nutrição (Integral), Odontologia (Integral)"
Quais cursos pertencem ao núcleo comum e constituem uma opção conjunta para ingresso?,Engenharia Física/Física/Física Médica e Biomédica/Matemática/Matemática Aplicada e Computacional (Integral)
Quais são os cursos oferecidos no campus de Piracicaba?,Odontologia (Integral)
Quais são as modalidades de acesso para o curso de Música Erudita: Clarineta?,3 vagas
Quantas vagas estão disponíveis para o curso de Música Popular: Violão?,1 vaga
"Se houver vagas não preenchidas nos cursos de Música Erudita: Instrumentos e Música Popular: Instrumentos, como serão remanejadas?","Para as demais modalidades de acesso, seguido pelos cursos de Música: Licenciatura e Regência, e, por último, para o curso de Composição, respeitando os critérios e limites descritos no edital."
O que acontece se houver vagas não preenchidas no curso de Música: Regência?,"As vagas serão remanejadas para o curso de Música: Licenciatura, desde que não tenha excedido o limite descrito no artigo 4º, e depois para o curso de Música: Composição, seguindo as condições estabelecidas no edital."
"Em caso de vagas não preenchidas no curso de Música: Composição, para onde as vagas ociosas serão remanejadas?","Para o curso de Música: Licenciatura, se o limite descrito no artigo 4º não tiver sido atingido, e depois para os cursos de Música Erudita: Instrumentos e Música Popular: Instrumentos, com base nos critérios do edital."
O que acontece se houver vagas não preenchidas no curso de Música: Licenciatura?,"As vagas ociosas serão remanejadas para os cursos de Música: Regência e Composição, seguindo os critérios estabelecidos, e, se ainda restarem vagas, serão remanejadas para os cursos de Música Erudita: Instrumentos e Música Popular: Instrumentos, conforme os critérios especificados no edital."
Quais são os cursos oferecidos na área de Ciências Humanas/Artes?,"Administração (Noturno), Administração Pública (Noturno), Arquitetura e Urbanismo (Noturno), Artes Cênicas (Integral), Artes Visuais (Integral), Comunicação Social - Midialogia (Integral), Ciências Econômicas (Integral), Ciências Econômicas (Noturno), Ciências Sociais (Integral), Ciências Sociais (Noturno), Dança (Integral), Estudos Literários (Integral), Filosofia (Integral), Geografia (Integral), Geografia (Noturno), História (Integral), Letras - Licenciatura (Integral), Letras - Licenciatura (Noturno), Linguística (Integral), Música (Integral), Pedagogia - Licenciatura (Integral), Pedagogia - Licenciatura (Noturno)."
Quais são os cursos oferecidos na área de Ciências Biológicas/Saúde?,"Ciências Biológicas (Integral), Ciências Biológicas - Licenciatura (Noturno), Ciências do Esporte (Integral), Educação Física (Integral), Educação Física (Noturno), Enfermagem (Integral), Farmácia (Integral), Fonoaudiologia (Integral), Medicina (Integral), Nutrição (Integral), Odontologia (Integral)."
Quais são os cursos oferecidos na área de Ciências Exatas/Tecnológicas?,"Ciência da Computação (Noturno), Engenharia Física/Física/Física Médica e Biomédica/Matemática/Matemática Aplicada e Computacional (Integral), Engenharia Agrícola (Integral), Engenharia Ambiental (Noturno), Engenharia Civil (Integral), Engenharia de Alimentos (Integral), Engenharia de Alimentos (Noturno), Engenharia de Computação (Integral), Engenharia de Controle e Automação (Noturno), Engenharia de Manufatura (Integral), Engenharia de Produção (Integral), Engenharia de Telecomunicações (Integral), Engenharia de Transportes (Noturno), Engenharia Elétrica (Integral), Engenharia Elétrica (Noturno), Engenharia Mecânica (Integral), Engenharia Química (Integral), Engenharia Química (Noturno), Estatística (Integral), Física - Licenciatura (Noturno), Geologia (Integral), Licenciatura Integrada Química/Física (Noturno), Matemática - Licenciatura (Noturno), Química (Integral), Química Tecnológica (Noturno), Sistemas de Informação (Integral), Tecnologia em Análise e Desenvolvimento de Sistemas (Noturno), Tecnologia em Saneamento Ambiental (Noturno)."
Qual é o procedimento para candidatos com deficiência ou condições específicas para realizar as provas? ,"Os candidatos nessas condições devem informar suas necessidades no campo específico do Formulário de Inscrição e anexar o documento emitido por médico especialista, conforme as especificações do inciso I do NEXO VI."
Quais informações devem constar no documento emitido por um médico especialista para candidatos com deficiência? ,"O documento deve conter a descrição da deficiência, o Código Internacional de Doenças (CID) ou Classificação Internacional de Funcionalidades (CIF), bem como a indicação das condições especiais necessárias para a realização da prova."
O que acontece se um candidato não anexar o documento necessário ou tiver sua solicitação de condições especiais indeferida? ,"Esses candidatos deverão realizar as provas nas mesmas condições dos demais candidatos, conforme o §4º do ANEXO VI."
Como será a realização das provas para candidatos com deficiência ou condições específicas deferidas?,"As provas serão realizadas em todas as cidades onde forem aplicadas as provas do Vestibular, conforme o §5º do ANEXO VI."
O que acontece se a subcomissão considerar necessário no caso de candidatos convocados para a 2ª fase?,"Esses candidatos deverão passar por uma avaliação por uma equipe multiprofissional e interdisciplinar, e podem ser desclassificados se os recursos específicos solicitados não forem considerados pertinentes, de acordo com o §6º do NEXO VI."
Quais recursos específicos podem ser disponibilizados para candidatos com deficiência? ,"Os candidatos podem ser atendidos através de letra ampliada no caderno de questões, auxílio para transcrição, tempo adicional para a realização da prova, leitor para realizar a leitura da prova e outros recursos de acordo com o §12 do ANEXO VI."
Quais são os requisitos para solicitar a redução parcial da taxa de inscrição do VU 2024? ,"Os candidatos devem ser estudantes regularmente matriculados no Ensino Fundamental ou Médio, curso pré-vestibular ou curso superior, e receber remuneração mensal inferior a dois salários-mínimos ou estar desempregados, conforme o Art. 1º do ANEXO VII."
Que documentos são aceitos para comprovação da condição de estudante e de renda para a redução da taxa de inscrição? ,"Para comprovar a condição de estudante, pode-se apresentar certidão ou declaração da instituição de ensino, carteira de identidade estudantil, entre outros. Para a renda, podem ser apresentados contracheque, extratos de rendimentos, entre outros, de acordo com o Art. 2º do ANEXO VII."
Como são considerados os candidatos desempregados para a redução da taxa de inscrição? ,"São considerados desempregados aqueles que, tendo estado empregados em algum momento nos últimos 12 meses, estejam sem trabalho no período da inscrição, de acordo com o Art. 3º do ANEXO VII."
Como os candidatos beneficiados pela redução parcial da taxa de inscrição devem proceder para se inscrever no VU 2024? ,"Eles devem realizar o pagamento do valor correspondente a 50% da taxa de inscrição, conforme o Art. 5º do ANEXO VII, e posteriormente efetuar a inscrição nos termos do art. 4 desta Resolução, com o valor da redução já refletido no boleto bancário, conforme o Art. 6º do ANEXO VII."
