generated_question,generated_answer,model_answer,model_answer_score
Quem pode se inscrever no VU 2024 de acordo com a Resolução?,I. Ser portador(a) de certificado de conclusão de Ensino Médio ou equivalente. II. Estar cursando o Ensino Médio ou equivalente. III. Ser portador(a) de diploma de curso superior.,"De acordo com a Resolução, os critérios de elegibilidade para se inscrever no VU 2024 são:

1. Ser portador(a) de certificado de conclusão de Ensino Médio ou equivalente.
2. Estar cursando o Ensino Médio ou equivalente.
3. Ser portador(a) de diploma de curso superior.

Portanto, os candidatos devem satisfazer a pelo menos uma dessas condições para poder se inscrever no VU 2024.",969
Quem é responsável pela realização do VU 2024 de acordo com a Resolução?,A Comissão Permanente para os Vestibulares da Unicamp (Comvest).,"De acordo com a Resolução, a responsabilidade pela realização do VU 2024 é da Comvest (Comissão Permanente para os Vestibulares da Unicamp).",959
Onde os candidatos podem encontrar o Manual do Ingresso contendo informações necessárias sobre o VU 2024?,"O Manual do Ingresso pode ser acessado eletronicamente no site da Comvest, www.comvest.unicamp.br, a partir de 31 de julho de 2023.","Os candidatos podem encontrar o Manual do Ingresso contendo todas as informações necessárias sobre o VU 2024 no site da Comvest, www.comvest.unicamp.br, a partir de 31 de julho de 2023.",931
Como será feito o ingresso nos Cursos de Graduação por meio do VU 2024?,"O ingresso será feito mediante processo classificatório, com aproveitamento dos(as) candidatos(as) até o limite das vagas fixadas para cada curso, obedecidas as normas da presente Resolução e informadas no Anexo I.","O ingresso nos Cursos de Graduação por meio do VU 2024 será feito mediante processo classificatório, com aproveitamento dos candidatos até o limite das vagas fixadas para cada curso. Os candidatos serão classificados em ordem decrescente e a inscrição para o VU 2024 será única. As informações completas sobre os requisitos, documentação necessária e demais orientações estão descritas no Manual do Ingresso, que estará disponível eletronicamente no site da Comvest a partir de 31 de julho de 2023.",789
Quais são as condições facultadas aos inscritos no VU 2024?,A bonificação prevista no Programa de Ação Afirmativa e Inclusão Social (PAAIS) e a reserva de vagas (cotas) para autodeclarados pretos e pardos.,"As condições facultadas aos candidatos inscritos no VU 2024 são:

- Bonificação prevista no Programa de Ação Afirmativa e Inclusão Social (PAAIS), especificada nos artigos 9º e 10 da Resolução.
- Reserva de vagas (cotas) para autodeclarados pretos e pardos, conforme art. 12 da Deliberação CONSU-A-032/2017.
- Candidatos autodeclarados pretos e pardos concorrerão a uma proporção mínima de 15% das vagas regulares em cada curso, ou até 27,2% das vagas, se houver candidatos de 1ª opção que atendam aos critérios de Nota Mínima de Opção (NMO) do respectivo curso, conforme Tabela apresentada no Anexo III.",892
Qual é a proporção mínima de vagas destinada a candidatos autodeclarados pretos e pardos em cada curso?,"A proporção mínima é de 15% das vagas regulares em cada curso ou, se for o caso, até 27,2% das vagas.","A proporção mínima de vagas destinada a candidatos autodeclarados pretos e pardos em cada curso, de acordo com a Resolução, é de 15% das vagas regulares. Em casos específicos, essa proporção pode chegar a até 27,2% das vagas, se houver candidatos de 1ª opção que atendam aos critérios de Nota Mínima de Opção (NMO) do respectivo curso.",759
O que acontece com as vagas não preenchidas por reserva para autodeclarados pretos e pardos?,Elas serão ocupadas pelos demais candidatos inscritos.,As vagas não preenchidas por reserva para autodeclarados pretos e pardos serão ocupadas pelos demais candidatos inscritos. Isso significa que os candidatos que não se autodeclararam pretos ou pardos terão a oportunidade de concorrer a essas vagas.,882
O que os candidatos devem fazer para ter direito à ação afirmativa por critério étnico-racial?,"Devem possuir traços fenotípicos que os caracterizem como negros, de cor preta ou parda, e preencher o campo específico de autodeclaração no formulário de inscrição.","Para ter direito à ação afirmativa por critério étnico-racial, os candidatos devem cumprir os seguintes critérios:

1. Ser autodeclarado preto ou pardo.
2. Possuir traços fenotípicos que os caracterizem como negro, de cor preta ou parda.
3. Optar expressamente pela reserva de vagas (cotas) para autodeclarados pretos e pardos no momento da inscrição.
4. Preencher o campo específico de autodeclaração no formulário de inscrição.
5. Ter a autodeclaração validada pela Comissão de Averiguação, que realizará uma avaliação de fenótipo.
6. Cumprir os procedimentos exigidos para a matrícula, caso sejam selecionados pelo sistema de cotas étnico-raciais.

É importante ressaltar que as informações prestadas na autodeclaração são de inteira responsabilidade do candidato, e qualquer falsidade pode acarretar a exclusão do processo seletivo.",887
O que acontece com os candidatos com autodeclarações não validadas pela Comissão de Averiguação?,"Eles serão excluídos do VU 2024 sem a possibilidade de concorrer pela ampla concorrência, exceto nos casos indicados no § 5º do artigo.","Os candidatos com autodeclarações não validadas pela Comissão de Averiguação serão excluídos do VU 2024 e não terão a possibilidade de concorrer pela ampla concorrência, exceto nos casos indicados no § 5º do artigo.",923
Quais são as formas de realização do ciclo escolar aceitas pelo Programa de Ação Afirmativa e Inclusão Social (PAAIS) de acordo com a Resolução?,"I. Ensino Fundamental II (5ª a 8ª série ou 6º ao 9º ano do EFII) e/ou Ensino Médio regular (1ª à 3ª série do Ensino Médio) cumpridos integralmente em estabelecimentos da rede pública brasileira (federal, estadual, municipal). II. Ensino Médio Supletivo ou EJA nas modalidades presencial, semipresencial e a distância, cumprido integralmente na rede pública brasileira (federal, estadual, municipal), desde que o(a) candidato(a) não tenha cursado nenhum período do Ensino Médio em estabelecimentos privados de ensino mesmo como bolsista. III. Conclusão do Ensino Médio por meio de Exames Nacionais de Certificação como o ENEM – até o ano de 2016 – e o Exame Nacional para Certificação de Competências de Jovens e Adultos (ENCCEJA), desde que o(a) candidato(a) não tenha cursado nenhum período do Ensino Médio em estabelecimentos privados de ensino mesmo como bolsista.","De acordo com a Resolução, as formas de realização do ciclo escolar aceitas pelo PAAIS são:

1. Ensino Fundamental II (5ª a 8ª série ou 6º ao 9º ano do EFII) e/ou Ensino Médio regular (1ª à 3ª série do Ensino Médio) cumpridos integralmente em estabelecimentos da rede pública brasileira (federal, estadual, municipal).

2. Ensino Médio Supletivo ou EJA nas modalidades presencial, semipresencial e a distância, cumprido integralmente na rede pública brasileira (federal, estadual, municipal), desde que o(a) candidato(a) não tenha cursado nenhum período do Ensino Médio em estabelecimentos privados de ensino mesmo como bolsista.

3. Conclusão do Ensino Médio por meio de Exames Nacionais de Certificação como o ENEM – até o ano de 2016 – e o Exame Nacional para Certificação de Competências de Jovens e Adultos (ENCCEJA), desde que o(a) candidato(a) não tenha cursado nenhum período do Ensino Médio em estabelecimentos privados de ensino mesmo como bolsista.",992
O que acontece se um candidato não apresentar os documentos comprobatórios exigidos no artigo 34?,"Ele estará eliminado do VU 2024 e terá a matrícula na Unicamp negada, não sendo possível abdicar dos pontos do PAAIS de maneira que estes sejam retirados do cômputo da nota.","Se um candidato convocado não apresentar os documentos comprobatórios exigidos no artigo 34, ele será eliminado do VU 2024 e terá sua matrícula na Unicamp negada. Além disso, não será possível abdicar dos pontos do PAAIS de maneira que estes sejam retirados do cômputo da nota.",958
Quem não pode ser beneficiado pelo PAAIS de acordo com a Resolução?,"Candidatos que cursaram escolas pertencentes a fundações privadas, candidatos que cursaram o ensino médio em escolas pertencentes ao Sistema S (SENAI, SESI e SENAC), candidatos que cursaram o ensino fundamental II e/ou ensino médio em escolas públicas no exterior, parcial ou integralmente, e candidatos que cursaram o ensino médio em instituição de natureza híbrida (pública e privada), administrada por meio de convênio ou ajuste equivalente com associações civis ou outras entidades privadas, ainda que na condição de bolsista.","De acordo com a Resolução, não podem ser beneficiados pelo PAAIS os candidatos que se enquadrem nas seguintes situações:

1. Candidatos que cursaram escolas pertencentes a fundações privadas, mesmo que gratuitas.
2. Candidatos que cursaram o ensino médio em escolas pertencentes ao Sistema S (SENAI, SESI e SENAC).
3. Candidatos que cursaram o ensino fundamental II e/ou ensino médio em escolas públicas no exterior, parcial ou integralmente.
4. Candidatos que cursaram o ensino médio em instituição de natureza híbrida (pública e privada), administrada por meio de convênio ou ajuste equivalente com associações civis ou outras entidades privadas, mesmo que na condição de bolsista.

Portanto, esses candidatos não podem receber a bonificação do PAAIS.",981
Qual é o período para inscrições no VU 2024?,O período para inscrições é de 31 de julho a 31 de agosto de 2023.,"De acordo com a Resolução mencionada, os candidatos não podem ser beneficiados pelo PAAIS nas seguintes situações:

1. Candidatos que cursaram escolas pertencentes a fundações privadas, mesmo que gratuitas.
2. Candidatos que cursaram o ensino médio em escolas pertencentes ao Sistema S (SENAI, SESI e SENAC).
3. Candidatos que cursaram o ensino fundamental II e/ou ensino médio em escolas públicas no exterior, parcial ou integralmente.
4. Candidatos que cursaram o ensino médio em instituições de natureza híbrida (pública e privada), administrada por meio de convênio ou ajuste equivalente com associações civis ou outras entidades privadas, mesmo que na condição de bolsista.
5. Candidatos que já tenham concluído curso de graduação ou pós-graduação em Instituições de Ensino Superior públicas brasileiras (municipais, estaduais ou federais).

Essas são as restrições mencionadas na Resolução em relação à elegibilidade para receber a bonificação do PAAIS.",806
Quais são as formas de identificação aceitas durante a realização das provas?,"Será aceito o número do CPF do(a) candidato(a), assim como um documento de identificação com fotografia, podendo ser cédula de identidade (RG), passaporte, Carteira de Registro Nacional Migratório, carteira expedida por Ordens ou Conselhos reconhecidos por lei ou Carteira Nacional de Habilitação.","De acordo com a Resolução mencionada, as formas de identificação aceitas durante a realização das provas são:

- Cédula de identidade (RG)
- Passaporte
- Carteira de Registro Nacional Migratório
- Carteira expedida por Ordens ou Conselhos reconhecidos por lei
- Carteira Nacional de Habilitação.",858
O que acontece se um candidato se recusar a seguir o procedimento de identificação durante a realização das provas?,"A recusa a esse procedimento acarretará a anulação da prova e, portanto, a eliminação do(a) candidato(a) do VU 2024.","A recusa em seguir o procedimento de identificação durante a realização das provas resultará na anulação da prova e, consequentemente, na eliminação do candidato do VU 2024.",901
Como os candidatos com deficiência ou em condições que exigem recursos específicos devem informar suas necessidades?,"Eles devem informar suas necessidades no Formulário de Inscrição, e a documentação necessária para a solicitação e as formas de atendimento estão descritas no Anexo VI.","Os candidatos com deficiência ou em condições que exigem recursos específicos devem realizar a solicitação de atendimento especializado durante o processo de inscrição para o Vestibular. Eles devem anexar um documento médico em formato PDF através do Formulário de Inscrição. Além disso, podem ser enviados relatórios e exames complementares datados a partir do ano de 2022. É importante ressaltar que as informações fornecidas devem ser exatas e fidedignas, pois a Comvest poderá realizar diligências para verificar a veracidade das declarações. A solicitação será analisada por uma subcomissão da Comvest composta por especialistas.",643
Qual é o valor da Taxa de Inscrição para o VU 2024?,"A Taxa de Inscrição é de R$ 192,00 (cento e noventa e dois reais).","O valor da Taxa de Inscrição para o VU 2024, de acordo com a Resolução mencionada, é de R$ 192,00 (cento e noventa e dois reais).",980
Qual é o período em que a Comvest receberá solicitações de redução parcial da Taxa de Inscrição do VU 2024?,"A Comvest receberá solicitações de redução parcial da Taxa de Inscrição entre 9 horas do dia 02 de agosto e 17 horas do dia 04 de agosto de 2023, nos termos da Lei estadual nº 12.782, de 20 de dezembro de 2007.",O período de solicitação de redução parcial da Taxa de Inscrição para o VU 2024 é das 9 horas do dia 02 de agosto até as 17 horas do dia 04 de agosto de 2023.,920
Quais são os critérios de convocação para a 2ª fase do VU 2024?,"Os critérios de convocação para a 2ª fase são baseados na ordem decrescente de NF1. Em cada curso, serão convocados os(as) candidatos(as) que optaram pelo curso em primeira opção e obtiveram 550 (quinhentos e cinquenta) ou mais pontos na nota final da 1ª fase, de acordo com o art. 21.","Os critérios utilizados para convocar os candidatos para a 2ª fase do VU 2024 são os seguintes:

1. Serão convocados(as) os(as) candidatos(as) que optaram pelo curso em 1ª opção, em ordem decrescente de NFI (Nota Final de Inscrição), desde que cumprido o disposto no § 3º do art. 19, até atingir o número necessário de convocados.

2. Para o cálculo dos limites de convocados(as), não serão computados os(as) candidatos(as) que não completarão o Ensino Médio no ano letivo de 2023, segundo declaração feita no campo apropriado do Formulário de Inscrição ao VU 2024.

3. Em caso de empate na última colocação, serão convocados(as) todos(as) os(as) candidatos(as) nessa condição para a 2ª fase.

4. Os critérios de convocação descritos acima são aplicados igualmente entre os(as) candidatos(as) que optaram e não optaram por reserva de vagas (cotas) para autodeclarados(as) pretos(as) e pardos(as).

Portanto, a convocação para a 2ª fase é baseada na ordem de preferência dos cursos, na nota final de inscrição, no cumprimento dos requisitos e na não conclusão do Ensino Médio no ano letivo de 2023.",738
Como são compostas as provas da 2ª fase do VU 2024?,"As provas da 2ª fase são compostas por uma parte comum para todos os candidatos, incluindo uma prova de Redação, uma prova de Língua Portuguesa e Literaturas de Língua Portuguesa, e uma prova Interdisciplinar, como estabelecido no art. 23. Além disso, há provas de conhecimentos específicos de acordo com a área de conhecimento do curso escolhido em primeira opção.","Os componentes das provas da 2ª fase do VU 2024 são:

- Primeiro dia: 
   a) Prova de Redação (composta por duas propostas de textos para que o(a) candidato(a) eleja e execute apenas uma proposta).
   b) Prova de Língua Portuguesa e Literaturas de Língua Portuguesa, com 6 (seis) questões.
   c) Prova Interdisciplinar: com 2 (duas) questões interdisciplinares em língua inglesa e 2 (duas) questões interdisciplinares de Ciências da Natureza.

- Segundo dia:
   a) Prova de Matemática: com 6 (seis) questões para os cursos das áreas de Ciências Exatas/Tecnológicas; 4 (quatro) questões para os cursos das áreas de Ciências Biológicas/Saúde e 4 (quatro) questões para os cursos das áreas de Ciências Humanas/Artes.
   b) Prova Interdisciplinar: com 2 (duas) questões interdisciplinares de Ciências Humanas.

Essas são as provas comuns a todos os candidatos na 2ª fase do VU 2024.",784
Quais são as formas de avaliação das provas de Habilidades Específicas?,"O formato da prova e os critérios de avaliação das provas de Habilidades Específicas de cada curso estão detalhados no Anexo II e no Manual do Ingresso, conforme indicado no art. 24.","As provas de Habilidades Específicas são avaliadas com base em critérios específicos para cada curso. No caso do curso de Artes Visuais, por exemplo, são avaliadas habilidades como a conjugação e organização de formas planas e volumétricas, criatividade no domínio formal e espacial, percepção visual e capacidade de observação, entre outros. A nota final é composta pela soma das notas de três provas: História da Arte, Expressão Plástica e Entrevista, cada uma valendo 16 pontos. Já no curso de Dança, a nota final é composta pela soma de três notas: Prova de Técnica, Prova de Improvisação e Global, cada uma com pesos diferentes.",740
O que acontece se um candidato não realizar ou obtiver nota zero em qualquer etapa das provas de Habilidades Específicas?,"O candidato que não realizar ou obtiver nota zero em qualquer etapa das provas de Habilidades Específicas no VU 2024 será eliminado do curso de primeira opção e continuará concorrendo somente em sua segunda opção, caso exista, conforme mencionado no §1º do art. 24.","Para um candidato que não realizar ou obtiver nota zero em qualquer etapa das provas de Habilidades Específicas, as consequências variam de acordo com a primeira ou segunda opção de curso. 

Na primeira opção, o candidato será eliminado do curso. No entanto, ele continuará concorrendo em sua segunda opção, caso ela exista. Ou seja, o candidato terá a oportunidade de ser avaliado e considerado para a segunda opção de curso, mesmo que tenha sido eliminado da primeira opção.",791
Como será o cálculo da Nota Final para os candidatos aos cursos de Música?,"Para os candidatos aos cursos de Música, a Nota Final será a média aritmética da Nota Padronizada da Prova da 1ª fase (NPF1), calculada segundo o § 4º do art. 19, e da Nota Padronizada da Música (NPM), calculada segundo o § 5º do art. 19, de acordo com o art. 20.","Para os candidatos aos cursos de Música, a Nota Final (NF1) é calculada da seguinte maneira:

NF1 = média aritmética da Nota Padronizada da Prova da 1ª fase (NPF1) e da Nota Padronizada da Prova de Habilidades Específicas de Música (NPM).

A NPF1 é calculada da seguinte forma:

NPF1 = 500 + (N - M) x 100/DP,

em que:
- N é a nota do candidato na 1ª fase;
- M é a média das notas dos candidatos presentes na 1ª fase (excluindo notas iguais a zero), arredondada para uma casa decimal com precisão de 0,5;
- DP é o desvio padrão das notas dos candidatos presentes na 1ª fase (excluindo notas iguais a zero), arredondado para uma casa decimal com precisão de 0,5.

Já a NPM é calculada da seguinte forma:

NPM = 500 + (NM - MM) x 100/DPM,

em que:
- NM é a nota da prova de Habilidades Específicas de Música;
- MM é a média das notas de NM entre todos os candidatos que tiveram todos os vídeos avaliados na prova de Habilidades Específicas de Música (excluindo notas iguais a zero), arredondada para uma casa decimal com precisão de 0,5;
- DPM é o desvio padrão de NM entre todos os candidatos que tiveram todos os vídeos avaliados na prova de Habilidades Específicas de Música, arredondado para uma casa decimal com precisão de 0,5.

Portanto, a NF1 para os candidatos aos cursos de Música é a média aritmética entre a NPF1 e a NPM.",701
Como são atribuídas as notas padronizadas para cada prova no cálculo da nota final do candidato?,"As notas padronizadas para cada prova são atribuídas por meio de um processo que envolve a atribuição de 500 pontos à média e 100 pontos ao desvio padrão. A fórmula para calcular a nota padronizada (NP) leva em consideração a nota bruta obtida pelo candidato, a média da prova entre todos os candidatos que a fizeram e obtiveram nota maior que zero, e o desvio padrão da distribuição de notas da prova entre todos os candidatos que a fizeram e obtiveram nota maior que zero, como estabelecido no Art. 25, I.","As notas padronizadas são atribuídas a cada prova no cálculo da nota final do candidato de acordo com a seguinte fórmula:

NP = 500 + (N – M) x 100/DP

Onde:
- NP é a nota padronizada na prova;
- N é a nota bruta obtida pelo candidato na prova;
- M é a média da prova entre todos os candidatos que a fizeram e obtiveram nota maior do que zero (arredondada para uma casa decimal com precisão de 0,5);
- DP é o desvio padrão da distribuição de notas da prova entre todos os candidatos que a fizeram e obtiveram nota maior do que zero (arredondado para uma casa decimal com precisão de 0,5).",900
Quais são as provas consideradas prioritárias e como as notas mínimas de opção são utilizadas para classificação e convocação dos candidatos?,"Até duas provas são consideradas prioritárias para cada curso, e a cada prova prioritária é atribuída a Nota Mínima de Opção (NMO). Essas notas são utilizadas, de acordo com o Anexo III, para a classificação e convocação dos candidatos em cada opção. Os candidatos serão classificados de acordo com os pesos das provas, as provas prioritárias e as NMOs consideradas no VU 2024, conforme descrito no Art. 26.","As notas mínimas de opção são utilizadas para classificar e convocar os candidatos em cada opção de curso. As notas mínimas de opção são atribuídas a cada prova prioritária e são consideradas no processo de classificação. O número máximo de provas prioritárias para cada curso é de duas. No entanto, o texto não especifica quais são as provas consideradas prioritárias.",774
"Em caso de anulação de alguma questão ou parte das provas, como será atribuída a pontuação para o que foi anulado?","Em caso de anulação de alguma questão ou parte das provas, a pontuação máxima será atribuída ao que foi anulado, de acordo com os valores especificados no Art. 27. Para a prova da 1ª fase, cada questão vale 1 (um) ponto; para a prova de Redação, o valor máximo é de 12 (doze) pontos; e, para as provas da 2ª fase, cada questão vale, no máximo, 4 (quatro) pontos.","De acordo com o Art. 27, em caso de anulação de alguma questão ou parte de provas, por qualquer que seja a razão, será atribuída a pontuação máxima ao que foi anulado. As pontuações máximas são as seguintes:

- Na prova da 1ª fase, cada questão vale 1 ponto.
- A prova de Redação vale, no máximo, 12 pontos.
- Nas provas da 2ª fase, cada questão vale, no máximo, 4 pontos.",908
Quais são os documentos necessários para a matrícula dos candidatos convocados para os cursos de graduação da Unicamp?,"Para a efetivação da matrícula, os candidatos convocados para os cursos de graduação da Unicamp devem apresentar uma série de documentos, conforme descrito no Art. 34. Entre os documentos exigidos estão o diploma ou certificado de conclusão do ensino médio, o histórico escolar completo do ensino médio (caso tenham optado pelo PAAIS - Ensino Médio), certificados de conclusão por meio de exames de certificação, e, no caso de candidatos ao curso de Medicina, uma cópia da carteira de vacinação atualizada, como estabelecido pela regulamentação.","Os documentos necessários para a matrícula dos candidatos convocados para os cursos de graduação da Unicamp são os seguintes:

- Diploma ou Certificado de Conclusão do ensino médio ou equivalente.
- Histórico Escolar Completo do Ensino Fundamental II realizado em estabelecimentos da rede pública brasileira (para optantes pelo PAAIS - Ensino Fundamental II).
- Parecer de equivalência de estudos expedido pela Diretoria de Ensino da Jurisdição do endereço domiciliar do candidato ou pela Secretaria da Educação estadual ou municipal, no caso de conclusão de estudos equivalentes ao Ensino Médio no exterior (§2º do art. 34).",834
Quais são as consequências para os candidatos que não apresentarem a documentação exigida ou cujos documentos não são considerados legítimos?,"O não cumprimento das exigências de documentação estabelecidas para a matrícula acarreta consequências graves para os candidatos, conforme descrito no Art. 36. Caso os documentos comprobatórios exigidos não sejam considerados legítimos, o candidato terá a matrícula negada ou cancelada, dependendo do momento em que a irregularidade for constatada. Além disso, se for comprovado em algum momento após a matrícula que os documentos não são legítimos ou estão em desacordo com as normas estabelecidas, o diploma do aluno será considerado inválido pela Unicamp.","As consequências para os candidatos que não apresentarem a documentação exigida ou cujos documentos não forem considerados legítimos são as seguintes:

- No caso dos candidatos convocados que não apresentarem os documentos comprobatórios exigidos, a matrícula na Unicamp será negada.
- Caso seja comprovado a qualquer momento após a matrícula efetuada que os documentos comprobatórios não são legítimos, idôneos ou estão em desacordo com o estabelecido na Resolução, a matrícula do aluno será cancelada.
- Se o estudante já tiver concluído o curso, seu diploma será considerado inválido pela Unicamp.

É importante ressaltar que essas consequências estão relacionadas à apresentação de documentos exigidos durante o processo de inscrição e matrícula na Unicamp.",782
Quais são as consequências para os candidatos que participarem de mais de um sistema de seleção previsto na Deliberação CONSU-A-032/2017?,"Conforme estabelecido no Capítulo VII, mais precisamente no Art. 41, os candidatos que participarem de mais de um sistema de seleção previsto na Deliberação CONSU-A-032/2017 serão automaticamente excluídos das vagas em outros sistemas quando efetivarem sua matrícula no sistema no qual foram convocados. Essa medida visa garantir a equidade e a transparência no processo de seleção e matrícula, assegurando que os candidatos selecionados escolham um único sistema de ingresso para evitar a ocupação simultânea de vagas em diferentes sistemas de seleção.","De acordo com o Artigo 41 da Deliberação CONSU-A-032/2017, se um candidato participar de mais de um sistema de seleção previsto, ele será automaticamente excluído das vagas em outros sistemas quando efetivar a sua matrícula no sistema no qual foi convocado. Em outras palavras, o candidato só poderá efetivar matrícula em um dos sistemas de seleção e será excluído das vagas nos demais sistemas.",801
Quais são os cursos que oferecem o menor número total de vagas regulares no Vestibular Unicamp 2024?,"Os cursos que oferecem o menor número total de vagas regulares são Música Popular: Violão (Integral) com 1 vaga, Música Erudita: Contrabaixo (Integral), Música Erudita: Flauta (Integral), Música Erudita: Percussão (Integral), Música Erudita: Trombone (Integral), Música Erudita: Trompete (Integral), Música Erudita: Viola (Integral), Música Erudita: Violino (Integral), Música Erudita: Violoncelo (Integral), Música Erudita: Voz (Integral), Música Popular: Violão (Integral), Música Popular: Bateria (Integral), Música Popular: Contrabaixo (Integral), Música Popular: Guitarra (Integral), Música Popular: Piano (Integral), Música Popular: Saxofone (Integral), Música: Regência (Integral) e Música Erudita: Piano (Integral) com 2 vagas cada.","Os cursos com o menor número total de vagas regulares no Vestibular Unicamp 2024 são:

- Curso de Bacharelado em Música Popular: Violão - 1 vaga.
- Curso de Bacharelado em Música Erudita: Viola - 2 vagas.
- Curso de Bacharelado em Música Erudita: Contrabaixo - 2 vagas.
- Curso de Bacharelado em Música Erudita: Violão - 2 vagas.
- Curso de Bacharelado em Música Erudita: Violoncelo - 2 vagas.
- Curso de Bacharelado em Música Erudita: Percussão - 2 vagas.
- Curso de Bacharelado em Música Erudita: Voz - 2 vagas.
- Curso de Bacharelado em Música Erudita: Trompete - 2 vagas.
- Curso de Bacharelado em Música Erudita: Violino - 2 vagas.",553
Quais são os cursos que oferecem o maior número total de vagas regulares no Vestibular Unicamp 2024?,"Os cursos que oferecem o maior número total de vagas regulares são Engenharia Mecânica (Integral) com 140 vagas, seguido por Medicina (Integral) com 110 vagas, e Engenharia Civil (Integral) com 80 vagas.","Os cursos que oferecem o maior número total de vagas regulares no Vestibular Unicamp 2024 são os cursos de Música Erudita e Música Popular, com um total de 40 vagas cada.",614
