generated_question,generated_answer,model_answer,model_answer_score
Entre quais dias serão realizadas as provas de Habilidades Específicas para os cursos de Música?,As provas de Habilidades Específicas para os cursos de Música serão realizadas de forma virtual entre os dias 18 a 29 de setembro de 2023.,As provas de Habilidades Específicas para os cursos de Música serão realizadas virtualmente no período de 18 a 29 de setembro de 2023.,944
Qual é a data da 1ª fase do Vestibular Unicamp 2024?,A 1ª fase do VU 2024 será realizada no dia 29 de outubro de 2023.,A 1ª fase do Vestibular Unicamp 2024 será realizada no dia 29 de outubro de 2023.,968
Como é calculada a Nota Padronizada da 1ª fase (NPF1) para todo candidato?,"A Nota Padronizada da 1ª fase (NPF1) é calculada por meio da fórmula NPF1 = 500 + (N – M) x 100/DP, onde N é a nota da prova, M é a média das notas dos candidatos presentes na 1ª fase, e DP é o desvio padrão das notas dos candidatos presentes.","O método de cálculo da Nota Padronizada da 1ª fase (NPF1) para todos os candidatos é dado pela fórmula: NPF1 = 500 + (N - M) x 100/DP, onde N é a nota definida no § 2º, M é a média de N dos candidatos presentes na 1ª fase (excluindo notas iguais a 0) e DP é o desvio padrão de N dos candidatos presentes na 1ª fase (excluindo notas iguais a 0). A NPF1 é arredondada para uma casa decimal com precisão de 0,1.",898
Qual é o número mínimo de convocados para a 2ª fase do Vestibular Unicamp 2024?,O número mínimo de convocados para a 2ª fase será de 4 vezes o número de vagas do curso.,O número mínimo de candidatos convocados para a 2ª fase do Vestibular Unicamp 2024 é de 4 vezes o número de vagas do curso.,959
Como é constituída a 2ª fase do Vestibular Unicamp 2024?,"A 2ª fase será constituída de provas com questões dissertativas, distribuídas em dois dias, sobre as áreas do conhecimento desenvolvidas no Ensino Médio, como estabelecidas na Base Nacional Comum Curricular (BNCC) e na Proposta Curricular do Estado de São Paulo.","A 2ª fase do Vestibular Unicamp 2024 é constituída por provas com questões dissertativas, distribuídas em dois dias. As provas abrangem as áreas do conhecimento desenvolvidas no Ensino Médio, de acordo com a Base Nacional Comum Curricular (BNCC) e a Proposta Curricular do Estado de São Paulo. Haverá uma parte comum para todos os candidatos e uma parte diversificada, de acordo com a área de conhecimento do curso escolhido em 1ª opção (Ciências Biológicas/Saúde, Ciências Exatas/Tecnológicas, Ciências Humanas/Artes). Cada questão dissertativa valerá 4 pontos, contendo 2 itens que valem 2 pontos cada. As provas da 2ª fase serão realizadas em dois dias consecutivos.",836
Quais são os critérios de convocação para a 2ª fase descritos no art. 21?,"Os critérios de convocação para a 2ª fase são baseados na ordem decrescente da Nota Final da 1ª fase (NF1) e em limites específicos dependendo da relação candidato/vaga de cada curso, conforme descrito no Anexo I.","Os critérios de convocação para a 2ª fase descritos no artigo 21 não são mencionados no contexto fornecido. Portanto, não é possível responder à pergunta com base nas informações fornecidas.",522
Como é feita a convocação dos candidatos para a matrícula online na Unicamp?,"A convocação dos candidatos para a matrícula online na Unicamp é feita pelo número de vagas oferecidas no VU 2024, por curso e por modalidade de inscrição (ampla concorrência, incluindo-se os convocados pelo PAAIS, e as reservas de vagas para pretos(as) e pardos(as)).","A convocação dos candidatos para a matrícula online na Unicamp é feita por meio de chamadas, de acordo com o calendário estabelecido pela Comvest. Os candidatos são convocados de acordo com o número de vagas oferecidas no vestibular, por curso e por modalidade de inscrição. Durante o período de chamadas, os candidatos podem cancelar a matrícula efetivada, conforme o calendário divulgado. A convocação pode ser feita por canais oficiais de comunicação, como e-mail, telefone, whatsapp, entre outros. Os candidatos devem acompanhar as convocações no site da Comvest e em seu e-mail cadastrado.",822
É possível cancelar a matrícula online uma vez efetuada?,"Sim, os candidatos podem cancelar a matrícula online dentro do período estipulado e conforme o calendário divulgado pela Comvest.","Sim, é possível cancelar a matrícula online, conforme o calendário divulgado na página da Comvest. No entanto, é importante ressaltar que o cancelamento da matrícula é irreversível e expressa a desistência do(a) candidato(a) à vaga para a qual havia sido convocado(a).",856
Quais são os documentos exigidos para a matrícula na Unicamp?,"Os documentos necessários incluem diploma ou certificado de conclusão do ensino médio, histórico escolar completo do ensino médio, certificados de exames de certificação, e outros documentos específicos, dependendo da modalidade de ingresso.","Os documentos necessários para a matrícula na Unicamp são os seguintes:

- Diploma ou Certificado de Conclusão do ensino médio ou equivalente.
- Histórico Escolar Completo do Ensino Fundamental II realizado em estabelecimentos da rede pública brasileira (para optantes pelo PAAIS - Ensino Fundamental II).
- Parecer de equivalência de estudos expedido pela Diretoria de Ensino da Jurisdição do endereço domiciliar do interessado ou pela Secretaria da Educação estadual ou municipal, para candidatos que concluíram o ensino médio no exterior.
- Outros documentos podem ser solicitados em caso de dúvidas quanto à identificação ou à documentação do candidato.

É importante ressaltar que, caso os documentos não sejam legítimos, idôneos ou estejam em desacordo com as normas estabelecidas, a matrícula poderá ser negada ou cancelada.",779
Como ocorre o processo de seleção e convocação dos candidatos?,"Os candidatos são classificados de acordo com critérios específicos, como ordem de preferência de curso, desempenho acadêmico e notas padronizadas.","O processo de seleção e convocação dos candidatos ocorre de acordo com os critérios estabelecidos pela Comvest. Os candidatos são classificados e convocados com base nos seguintes critérios:

1. Os candidatos que optaram pelo curso em 1ª opção e obtiveram notas padronizadas nas disciplinas prioritárias superiores ou iguais às notas mínimas estabelecidas são convocados por ordem decrescente de NPO (Nota Padronizada Observada).

2. Caso haja vagas não preenchidas pelo critério anterior, são convocados todos os candidatos que optaram pelo curso, independentemente da ordem da opção e das notas nas disciplinas prioritárias do curso.

3. Se ainda houver vagas não preenchidas, são convocados candidatos que optaram por cursos afins que não foram convocados para os cursos de suas opções, em ordem decrescente de NPO para o curso onde a vaga estiver disponível.

Além disso, a Comvest pode entrar em contato com os candidatos por canais oficiais de comunicação, como e-mail, telefone, whatsapp, para orientá-los sobre os procedimentos de matrícula. Os candidatos também têm a possibilidade de cancelar a matrícula efetivada durante o período de chamadas e matrículas online, conforme o calendário divulgado pela Comvest.",805
O que acontece se um candidato for convocado em mais de um sistema de seleção da Unicamp?,"Se um candidato for convocado em mais de um sistema de seleção, ele será excluído automaticamente de vagas em outros sistemas ao efetuar a matrícula no sistema em que foi convocado.","Se um candidato for convocado em mais de um sistema de seleção da Unicamp, ele será excluído automaticamente das vagas em outros sistemas quando efetivar a sua matrícula no sistema no qual foi convocado. No entanto, caso tenha sido convocado para o mesmo curso, na mesma chamada, em diferentes sistemas de ingresso, a vaga a ser preenchida será a do Vestibular Unicamp (VU 2024), permitindo que outros candidatos sejam convocados pelos demais sistemas. Se o candidato tiver sido convocado em cursos diferentes, na mesma chamada, no VU 2024 e em outro(s) sistema(s) de ingresso, será considerada como opção a matrícula que ele tenha efetivado primeiro, como gesto de sua deliberada escolha.",926
É permitada a permuta de vagas entre o VU 2024 e os outros sistemas de ingresso?,"Não, a permuta de vagas entre candidatos classificados não é permitida.",Não será permitida a permuta de vagas entre candidatos(as) classificados(as) no VU 2024 ou outros sistemas de ingresso à Unicamp.,909
Quais são as penalidades para informações falsas ou documentação inidônea?,"A prestação de informações falsas ou a apresentação de documentação inidônea pode resultar no cancelamento da matrícula do estudante na Unicamp, sem prejuízo das sanções penais eventualmente cabíveis.","As penalidades para informações falsas ou documentação inidônea são o cancelamento da matrícula junto à Unicamp, sem prejuízo das sanções penais eventualmente cabíveis.",877
Como são tratados os casos de impossibilidade da Comvest realizar a prova em alguma localidade?,"Na impossibilidade da Comvest realizar prova em alguma localidade por motivos alheios à sua vontade não haverá reaplicação do exame e/ou cancelamento do VU 2024. Pemitindo que o candidato escolha outra localidade, com indicação da mesma pela Comvest, às suas expensas ou, alternativamente sua desclassiﬁcação do processo seletivo e, em caso de pagamento, devolução integral do valor da Taxa de Inscrição em até 10 dias úteis.","Nos casos em que a Comvest não consegue realizar a prova em alguma localidade por motivos alheios à sua vontade, não haverá reaplicação do exame e/ou cancelamento do processo seletivo. O candidato terá a opção de escolher outra localidade, indicada pela Comvest, porém, ele será responsável pelas despesas relacionadas a essa escolha. Alternativamente, o candidato poderá ser desclassificado do processo seletivo e, em caso de pagamento, receberá a devolução integral do valor da taxa de inscrição dentro de 10 dias úteis.",859
Qual é o total de vagas para o curso de Administração (Noturno)?,O total de vagas para o curso de Administração (Noturno) é 180.,"Para o curso de Administração (Noturno), estão disponíveis um total de 180 vagas.",1000
Qual é o número total de vagas regulares para o curso de Música: Composição (Integral)?,O número total de vagas regulares para o curso de Música: Composição (Integral) é 5.,"De acordo com as informações fornecidas, o curso de Música: Composição (Integral) possui um total de 5 vagas regulares disponíveis.",901
Quantas são vagas totais reservadas para o VU no curso de Arquitetura e Urbanismo (Noturno)?,"No curso de Arquitetura e Urbanismo (Noturno), 24 vagas são reservadas para o VU.","No curso de Arquitetura e Urbanismo (Noturno), estão reservadas um total de 30 vagas.",783
Qual é o número de vagas totais regulares para o curso de Engenharia Elétrica (Noturno)?,O número de vagas regulares para o curso de Engenharia Elétrica (Noturno) é 30.,As vagas totais regulares para o curso de Engenharia Elétrica (Noturno) são 30.,925
Quantas questões objetivas compõem a prova da primeira fase?,"A prova da primeira fase é composta por 72 questões objetivas distribuídas da seguinte forma: 12 questões de Matemática, 12 questões de Língua Portuguesa e Literaturas de Língua Portuguesa, 7 questões de Inglês, 21 questões de Ciências da Natureza (Biologia, Química e Física) e 20 questões de Ciências Humanas (História, Geografia, Filosofia e Sociologia).",A prova da primeira fase é composta por 72 questões objetivas.,485
Quais são os critérios de avaliação no desenvolvimento da proposta de Redação?,"Os critérios de avaliação da prova de Redação incluem o cumprimento da proposta temática, a configuração do gênero, a qualidade da leitura dos textos oferecidos na prova e a articulação coerente e coesa de elementos da escrita. Os candidatos devem também demonstrar competência na seleção lexical apropriada ao estilo dos gêneros discursivos solicitados na prova e no emprego de regras gramaticais e ortográficas.","Os critérios utilizados na avaliação do desenvolvimento da proposta de Redação são:

1. Proposta temática: Os candidatos devem cumprir a(s) tarefa(s) que está(ão) sendo solicitada(s), observando o recorte temático e as instruções do enunciado.

2. Gênero: O texto elaborado deve ser representativo do gênero discursivo solicitado, levando em consideração a situação de produção, circulação e os interlocutores nela implicados.

3. Leitura: É esperado que os candidatos façam uma leitura crítica do(s) texto(s) fornecido(s) na proposta e saibam mobilizá-lo(s) em função do seu projeto de escrita, e não simplesmente reproduzir o(s) texto(s) ou partes dele(s) em forma de colagem.

4. Articulação escrita: Os textos produzidos pelos candidatos devem propiciar uma leitura fluída e envolvente, apresentar uma articulação sintático-semântica ancorada no emprego adequado de elementos coesivos e de outros recursos necessários à organização e clareza dos enunciados. Os candidatos também devem demonstrar competência na seleção lexical apropriada ao estilo dos gêneros discursivos solicitados na prova e no emprego de regras gramaticais e ortográficas que atendem ao registro de linguagem esperado no gênero, levando-se sempre em consideração a situação de produção e circulação do texto a ser elaborado.",767
Quantos dias são destinados para a realização da segunda fase?,A segunda fase é realizada em dois dias consecutivos.,A segunda fase é realizada em dois dias consecutivos.,1000
Quais são os temas abordados nas provas de Língua Portuguesa do Vestibular Unicamp?,"As provas de Língua Portuguesa do Vestibular Unicamp abordam temas como reconhecimento da língua como fenômeno sociocultural, compreensão de práticas de linguagem, interpretação de textos de diferentes gêneros e mídias, análise da forma e do sentido das estruturas e recursos linguísticos, entre outros.","As provas de Língua Portuguesa do Vestibular Unicamp abordam temas relacionados à capacidade do candidato em reconhecer a língua como fenômeno sociocultural, histórico e geopolítico que apresenta variações segundo os contextos de uso, bem como em reconhecer e compreender as diversas práticas de linguagem, inclusive no universo digital, como parte integrante das interações humanas que permitem a produção e a negociação de sentidos entre os interlocutores.",832
Quais são os índices de conteúdos programáticos gerais para a prova de Língua Portuguesa?,"Os índices de conteúdos programáticos gerais para a prova de Língua Portuguesa incluem o texto e seu funcionamento, processos de significação, funcionamento social da língua, sintaxe da língua portuguesa, morfologia da língua portuguesa e elementos de fonologia da língua portuguesa.",Os índices de conteúdos programáticos gerais para a prova de Língua Portuguesa não são mencionados no texto fornecido.,689
Quais são as habilidades exigidas na prova de Literaturas de Língua Portuguesa na Unicamp 2024?,"A prova requer a capacidade de leitura, compreensão analítica e interpretação crítica de textos nas tradições das literaturas de língua portuguesa, além do desenvolvimento de habilidades de leitura literária.","Na prova de Literaturas de Língua Portuguesa da Unicamp, são exigidas as seguintes habilidades:

1. Capacidade de leitura, compreensão analítica e interpretação crítica de textos produzidos nas tradições das literaturas de língua portuguesa.

2. Capacidade de apropriar-se criticamente de um repertório artístico criado em diferentes momentos históricos, que fala diretamente à sua experiência pessoal.

3. Capacidade de estabelecer relações que transcendem a dimensão pessoal, de modo a poder fruir e apreciar esteticamente manifestações artísticas produzidas em contextos radicalmente diferentes do seu.

Além disso, espera-se que o candidato seja capaz de mobilizar um conjunto de conhecimentos apreendidos ao longo do ensino médio a fim de desenvolver as habilidades próprias da leitura literária.",926
Quais são os gêneros literários abordados na prova de Prosa?,"A prova de Prosa inclui gêneros como romances, contos, crônicas, sermões, ou diários.","Na prova de Prosa do Vestibular Unicamp, são abordados diversos gêneros literários, como romances, contos, crônicas, sermões e diários.",913
Quais são os elementos fundamentais que o candidato deve ser capaz de descrever na prova de Prosa?,"O candidato deve ser capaz de descrever elementos como narrador, personagem, tempo, espaço, enredo, além de analisar o funcionamento do texto em relação a temas amplos e transversais.","Na prova de Prosa do Vestibular Unicamp, o candidato deve ser capaz de descrever alguns elementos fundamentais de organização das narrativas ficcionais e não ficcionais, como narrador, personagem, tempo, espaço e enredo. Além disso, espera-se que o candidato seja capaz de analisar o funcionamento do texto em termos de estrutura e temática.",843
Quais são os elementos fundamentais que o candidato deve ser capaz de descrever na prova de Poesia?,"Na prova de Poesia, o candidato deve descrever elementos da linguagem poética, como verso, estrofe, metro, ritmo e sonoridade, e relacioná-los com temas e figuras de linguagem.","Na prova de Poesia do Vestibular Unicamp, espera-se que o candidato seja capaz de descrever os elementos fundamentais que caracterizam a linguagem poética. Isso inclui o uso do verso, da estrofe, do metro, do ritmo e da sonoridade. Além disso, o candidato deve ser capaz de interpretar os efeitos produzidos pelos recursos de organização e expressão poética e relacioná-los com temas e figuras de linguagem. É necessário também relacionar criticamente esses efeitos com as dimensões da vida social, moral e política.",891
Quais são os índices de conteúdos programáticos gerais em Matemática exigidos na prova da Unicamp 2024?,"Os conteúdos programáticos gerais em Matemática incluem conjuntos numéricos, funções e gráficos, polinômios com coeficientes reais, contagem e probabilidade, sistemas lineares, geometria plana, geometria espacial, trigonometria, geometria analítica e logaritmos e exponenciais.","Os índices de conteúdos programáticos gerais em Matemática exigidos na prova da Unicamp 2024 incluem os seguintes tópicos:

- Representação de conjuntos, subconjuntos, união e interseção de conjuntos;
- Números naturais e inteiros: operações fundamentais;
- Números primos, fatoração, número de divisores, máximo divisor comum e mínimo múltiplo comum.

Esses são alguns dos tópicos que podem ser abordados na prova de Matemática da Unicamp 2024. É importante verificar o programa completo fornecido pela universidade para obter mais detalhes sobre os conteúdos específicos.",446
Quais é o conjunto de habilidades exigidas na prova de Geografia?,"A prova exige a capacidade de resolver problemas geográficos, aprimorar o raciocínio geográfico, compreender a espacialização dos fenômenos, descrever e analisar processos espaciais em várias escalas, conhecer a dinâmica dos territórios nacionais e elaborar respostas escritas com base no conteúdo programático.","As habilidades exigidas na prova de Geografia incluem:

1. Conhecer a dinâmica dos territórios nacionais por meio de distintas abordagens envolvendo aspectos físico-naturais, urbano-regionais, socioeconômicos e culturais, geopolíticos e políticos, recursos naturais e energéticos.

2. Elaborar respostas escritas que envolvam descrição, exposição e argumentação com base nas informações e conhecimentos listados no conteúdo programático de Geografia e Sociologia.

3. Analisar e discutir modelos, teorias e leis propostos em diferentes épocas e culturas para comparar distintas explicações sobre os fenômenos da natureza, como a formação e a evolução da Terra e do Universo, com as teorias científicas aceitas atualmente.",681
Quais são os conceitos fundamentais abordados na seção de Geografia da prova da Unicamp 2024?,"Os conceitos fundamentais incluem espaço geográfico, território, paisagem, região, lugar, redes técnicas, escalas, fronteiras e linguagem cartográfica.","Os conceitos fundamentais abordados na seção de Geografia da prova da Unicamp 2024 são: espaço geográfico, território, paisagem, meio, região, lugar, redes técnicas, escalas e fronteiras.",931
Quais são os componentes físico-naturais abordados na seção de Geografia?,"Os componentes físico-naturais incluem interação Litosfera x Hidrosfera x Atmosfera x Criosfera, mecanismos da configuração do relevo, dinâmicas atmosféricas, elementos do clima, ciclo hidrológico, biosfera, recursos naturais e questões ambientais.","Os componentes físico-naturais abordados na seção de Geografia da prova da Unicamp 2024 são: 
- Espaço geográfico, território, paisagem, meio, região e lugar;
- As redes técnicas;
- As escalas;
- As fronteiras;
- Meios de orientação na superfície terrestre;
- As coordenadas geográficas e seus princípios de localização no sistema Terra;
- Os movimentos da órbita terrestre, as estações do ano e os fusos horários;
- Princípios da Cartografia Sistemática: elementos do mapa;
- As projeções cartográficas;
- Mapas e Cartas Temáticas;
- Escala cartográfica e escala geográfica dos fenômenos espaciais;
- Mecanismos da interação Litosfera x Hidrosfera x Atmosfera x Criosfera para a dinâmica terrestre;
- As teorias da Deriva Continental, Expansão do Assoalho Oceânico e Tectônica Global;
- Processos endógenos e exógenos da configuração do relevo em múltiplas escalas;
- Formas de relevo: processos e mecanismos de gênese e evolução;
- Compartimentos do relevo brasileiro e sul-americano.",628
Quais é o conjunto de as habilidades exigidas na prova de História?,"A prova exige a capacidade de compreender documentos históricos de múltiplas naturezas, relacionar documentos históricos aos seus contextos de produção, cotejar fontes e estudos historiográficos, e elaborar respostas escritas com base no conteúdo programático de História.","As habilidades exigidas na prova de História são:

1. Compreender de forma crítica documentos históricos de múltiplas naturezas.
2. Relacionar os documentos históricos aos seus contextos de produção e sentidos em relação aos tempos históricos em que estão inseridos.
3. Descrever, analisar e relacionar conceitos básicos da História em suas múltiplas temporalidades.
4. Cotejar fontes, cotejar fonte e estudos historiográficos e os estudos históricos entre si, notando a capacidade de percepção das relações tecidas ou não entre os processos históricos e suas operações de memória e esquecimento.
5. Elaborar respostas escritas que envolvam descrição, exposição e argumentação com base nas informações e conhecimentos listados no conteúdo programático de História.",933
Quais são os eixos norteadores dos recortes temáticos na seção de História?,"Os eixos norteadores incluem o tempo presente e os usos do passado, leitura crítica do documento histórico, uma história não eurocêntrica, e a noção de cidadania e os direitos civis, sociais e políticos.","Os eixos norteadores dos recortes temáticos na seção de História são:

1. O tempo presente e os usos do passado.
2. Leitura crítica do documento histórico e análise reflexiva dos contextos em questão.
3. Os procedimentos de uma história não eurocêntrica: povos, sociedades e culturas em um contexto plural.
4. A noção de cidadania e os direitos civis, sociais e políticos.",938
Quais são os conteúdos programáticos gerais de Sociologia?,"Os conteúdos programáticos gerais incluem conceitos fundamentais e dimensões sociais, como a relação entre o indivíduo e a sociedade, diferença e desigualdade, cultura e poder, trabalho e política, relações entre grupos e povos, cultura e comunicação de massa, demandas por direitos e dinâmicas sociais na base de fenômenos da violência.","Os conteúdos programáticos gerais de Sociologia incluem:

- Conceitos fundamentais: o indivíduo como ser social, a inserção em grupos sociais, relações e interações sociais, sociabilidade e socialização, diferença e desigualdade (etnias, raça, classes sociais, gênero, geração), cultura e poder (democracia, Estado, políticas públicas, movimentos sociais), trabalho e política (renda, produção, relações de trabalho, tecnologia).

- Dimensões sociais: emprego, trabalho e renda em diferentes espaços, escalas e tempos, associando-os a processos de estratificação e desigualdade.

Os estudantes também são incentivados a aprimorar o raciocínio sociológico, selecionar e sistematizar evidências e informações sobre grupos sociais, analisar situações da vida cotidiana, desnaturalizando formas de desigualdade, preconceito e discriminação, e elaborar respostas escritas baseadas nos conhecimentos adquiridos.",697
Quais é o conjunto de habilidades exigidas na prova de Filosofia?,"1. Analisar os textos filosóficos levando em consideração o contexto histórico, o contexto filosófico, as teses e os argumentos apresentados. 2. Compreender e interpretar de forma crítica textos filosóficos produzidos em diferentes épocas e lugares, relacionando-os com temas e questões contemporâneas relevantes, bem como com conhecimentos produzidos em outras áreas. 3. Comparar distintas abordagens filosóficas de um mesmo tema ou conceito à luz da história da filosofia. 4. Elaborar respostas escritas que envolvam descrição, exposição e argumentação com base nas informações e conhecimentos listados no conteúdo programático de Filosofia.","As habilidades exigidas na prova de Filosofia são:

- Descrever, analisar e relacionar conceitos básicos de Filosofia;
- Elaborar respostas escritas que envolvam descrição, exposição e argumentação com base nas informações e conhecimentos listados no conteúdo programático de Filosofia.",567
Quais são os conteúdos programáticos gerais de Filosofia?,"Os conteúdos programáticos gerais abrangem fundamentos da ética e formação de sujeitos éticos, fundamentos da política e formação de sujeitos políticos, entre outros temas relacionados a ética, política e suas interconexões.","Os conteúdos programáticos gerais de Filosofia são:

- Fundamentos da ética e formação de sujeitos éticos. Temas e conceitos: virtude, dever, autonomia, moral, juízo moral, consciência moral, educação moral, felicidade, justiça, solidariedade, cuidado, dignidade, responsabilidade, respeito, diálogo, sentimento moral, paixões, princípio racional, universalismo, relativismo e relação entre ética e política.

- Fundamentos da política e formação de sujeitos políticos. Temas e conceitos: democracia, liberalismo, republicanismo, marxismo, autoritarismo, totalitarismo, contrato social, justiça, igualdade, liberdade, reconhecimento, tolerância, cidadania, pluralidade, Direitos Humanos, relações entre ética e política.",910
